date,temp-avg
2022-02-01,5.6025
2022-02-02,6.895
2022-02-03,6.54875
2022-02-04,5.11125
2022-02-05,5.46375
2022-02-06,3.48875
2022-02-07,4.065
2022-02-08,4.52125
2022-02-09,6.49875
2022-02-10,4.54125
2022-02-11,5.2475
2022-02-12,5.53875
2022-02-13,5.87125
2022-02-14,5.2175
2022-02-15,6.5575
2022-02-16,6.34375
2022-02-17,4.9125
2022-02-18,6.3775
2022-02-19,6.1375
2022-02-20,6.36
2022-02-21,4.61375
2022-02-22,5.1375
2022-02-23,4.41
2022-02-24,4.7025
2022-02-25,5.77125
2022-02-26,8.1625
2022-02-27,10.0762
2022-02-28,8.7325
